agency_name,agency_url,classification,description
Accreditation Committee,https://www.albertaac.ca/,Regulatory/Adjudicative,"The Accreditation Committee is responsible for overseeing, reviewing and approving the continuing education providers and courses that brokers, agents, and adjusters must attend each year to maintain their licenses. The Committee also approves self-accredited course providers and the allocation of those course credits."
Acute Care Alberta,https://acutecarealberta.ca/default.aspx,Service Delivery,"Acute Care Alberta will coordinate and oversee the delivery of hospital care, urgent care centres, clinical operations, surgeries, and emergency medical services, to expedite access to quality acute care health services for Albertans, including those in rural areas."
Advisory Council on Alberta-Ukraine Relations,https://public-agency-list.alberta.ca/PublicAgencyOpportunityList/GetOpportunityById?opportunityId=410,Advisory,The mandate of the Advisory Council on Alberta-Ukraine Relations is to consider opportunities for cooperation and provide advice to the Minister on Alberta-Ukraine initiatives.
Agriculture Financial Services Corporation,https://afsc.ca/,Corporate Enterprise,"The Agriculture Financial Services Corporation provides lending and insurance services as well as compensation programs. The Corporation's core programs and services include loans to beginning farmers, commercial lending, crop insurance, hail insurance and agricultural income stabilization payments. It also delivers other programs and services including loans to developing farmers, disaster loans, loan guarantees and business counseling."
Alberta Agricultural Products Marketing Council,https://www.alberta.ca/alberta-agricultural-products-marketing-council,Regulatory/Adjudicative,"The Alberta Agricultural Products Marketing Council (Council) is a provincial public agency established by theMarketing of Agricultural Products Act(MAPA)to advisethe Minister on matters related to Alberta’s19 agricultural marketing boards and commissions (MBCs)and supervise these MBCs in accordance with MAPA.Council empowers MBCs by advancing governance excellence, providing integrated policy advice, and administering effective legislation for the benefit of the agricultural industry and government."
Alberta Anti-Racism Advisory Council,https://www.alberta.ca/anti-racism-advisory-council,Advisory,The Alberta Anti-Racism Advisory Council provides advice on how to combat racism and how to best implement and evaluate anti-racism action items.
Alberta Assessors' Association - Executive Committee,https://www.assessor.ab.ca/association-structure,Regulatory/Adjudicative,"The Executive Committee manages and conducts the business and affairs of the Alberta's Assessors' Association and exercises the rights, powers and privileges of the Association in the name and on behalf of the Association. The Committee also reviews disciplinary complaints."
Alberta Assoc. of Architects and the Assoc. of Prof. Engineers and Geoscientists of Alberta - Joint Board of Practice,https://www.alberta.ca/_AppCode/Epaas/agency-list.cfm?ll=5,Regulatory/Adjudicative,The operation of the Joint Board of Practice is prescribed by agreement between the Council of the Architects Association and the Council of the Engineers Association. Some items in the agreement include: provisions respecting the assessment of applications for a certificate of authorization under the Architects Act and Engineering and Geoscience Professions Act; provisions respecting recommendations on applications for authority to prepare final drawings for buildings under the Safety Codes Act; and mediating complaints or disputes.
Alberta Association of Architects - Council,https://www.aaa.ab.ca/,Regulatory/Adjudicative,The Council manages and conducts the business and affairs of the Alberta Association of Architects and exercises the powers of the Association in the name and on behalf of the Association.
Alberta Association of Architects - Practice Review Board,https://aaa.ab.ca/web/Web/Professional_Resources/Practice_Support/Practice_FAQs.aspx,Advisory,"The Practice Review Committee of the Alberta Association of Architects is responsible for the assessment of existing, and the development of new, educational standards and experience requirements that are conditions required to obtain registration under the Architects Act. The Committee may review and make recommendations on the IAP, IID, and Professional Development Programs. The Committee may also conduct a review of the practice of an authorized entity."
