agency_name,position,name,appointment_date,expiry_date,appointment_method
Acute Care Alberta,Chair and Member,"Diamond, David",Mar 01 2026,Jun 30 2026,Ministerial Order
Advisory Council on Alberta-Ukraine Relations,Chair & MLA Member,"Armstrong-Homeniuk, Jackie",Oct 04 2024,Oct 03 2026,Ministerial Order
Advisory Council on Alberta-Ukraine Relations,Member,"Marcinkoski, Yuliia",Jul 31 2024,Jul 30 2027,Ministerial Order
Advisory Council on Alberta-Ukraine Relations,Member,"Fisher, Rowan",Jul 31 2024,Jul 30 2027,Ministerial Order
Advisory Council on Alberta-Ukraine Relations,Member,"Milentyev, Vitaliy",Jul 31 2024,Jul 30 2027,Ministerial Order
Advisory Council on Alberta-Ukraine Relations,Member,"Ofsoske, Evelyn",Jul 31 2024,Jul 30 2027,Ministerial Order
Advisory Council on Alberta-Ukraine Relations,Member,"Mansour, Sally",Sep 19 2025,Sep 18 2028,Ministerial Order
Advisory Council on Alberta-Ukraine Relations,Member,"Royle, Kevin",Jul 31 2024,Jul 30 2027,Ministerial Order
Agriculture Financial Services Corporation,Chair & Member,"Smith-Fraser, Kelly",Apr 13 2024,Apr 12 2027,Ministerial Order
Agriculture Financial Services Corporation,Member,"Harpe, Andre",Apr 13 2025,Apr 12 2028,Ministerial Order
Agriculture Financial Services Corporation,Member,"Howden, Michael",Apr 13 2025,Apr 12 2028,Ministerial Order
Agriculture Financial Services Corporation,Member,"Bricker, Ross",Apr 13 2025,Apr 12 2028,Ministerial Order
Agriculture Financial Services Corporation,Member,"Greidanus, Romke (Ron)",May 28 2024,May 28 2027,Ministerial Order
Agriculture Financial Services Corporation,Member,"Vandenberg, Shelley",Apr 13 2024,Apr 12 2027,Ministerial Order
Alberta Agricultural Products Marketing Council,Chair & Member,"Buckley, John",Mar 21 2025,Jun 14 2028,Order in Council
Alberta Agricultural Products Marketing Council,Vice-Chair & Member,"Bos, Hennie",Mar 21 2025,Jun 14 2028,Order in Council
Alberta Agricultural Products Marketing Council,Member,"Guelly, John",Jun 15 2025,Jun 14 2028,Order in Council
Alberta Agricultural Products Marketing Council,Member,"Chitwood, Ian",Mar 21 2025,Mar 20 2028,Order in Council
Alberta Agricultural Products Marketing Council,Member,"Moss, David",Mar 21 2025,Mar 20 2028,Order in Council
Alberta Agricultural Products Marketing Council,Member,"Schafers, Susan",Mar 21 2025,Mar 20 2028,Order in Council
Alberta Anti-Racism Advisory Council,Co-Chair,"Shaikh, Mike",Jan 28 2024,Jan 27 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Co-Chair,"Poon, Norman",Jul 29 2025,Apr 30 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Latorre, Cecilia",Aug 20 2025,Aug 19 2028,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Pham, Anne-Marie",Aug 20 2025,Aug 19 2028,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Kapfunde, Dayirai",Aug 20 2025,Aug 19 2028,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Starlight, Teena",Aug 20 2025,Aug 19 2028,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Afonne, Janet",Aug 20 2025,Aug 19 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Agbonison, Helen",Apr 06 2026,Apr 05 2029,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Aranha, Francis",Aug 20 2025,Aug 19 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Kahn, Madeeha",Aug 20 2025,Aug 19 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Park, Abigail Ji Eun",Aug 20 2025,Aug 19 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"McLaren, Imelda",Aug 20 2025,Aug 19 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Omar, Hanin",Aug 20 2025,Aug 19 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Opoku, Robert",Aug 20 2025,Aug 19 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Silverman, Abe",Jan 28 2025,Apr 30 2027,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Aryal, Shreekanta",Apr 06 2026,Apr 05 2029,Ministerial Order
Alberta Anti-Racism Advisory Council,Public Member,"Hassan, Hyder",Jul 29 2025,Apr 30 2027,Ministerial Order
Alberta Assessors' Association - Executive Committee,Public Member,"Losch, Jeffrey",Dec 18 2024,Dec 17 2026,Ministerial Order
Alberta Association of Architects - Council,Public Member,"Ng, Michael",Jan 22 2019,Jan 21 2020,Ministerial Order
Alberta Association of Architects - Council,Public Member,"Misra, Iti",Dec 18 2024,Dec 17 2025,Ministerial Order
Alberta Association of Architects - Practice Review Board,Public Member,"Nuthall, Jasmine",Dec 18 2024,Dec 17 2027,Ministerial Order
Alberta Association of Landscape Architects - Board of Directors,Public Member,"Power, Barbara",Nov 21 2017,Nov 20 2019,Ministerial Order
Alberta Black Advisory Council,Co-Chair,"Johnston-Taylor, Nketti",Feb 09 2024,Feb 08 2027,Ministerial Order
Alberta Black Advisory Council,Co-Chair (AARAC),"Dobbins, Deborah",Feb 09 2026,Feb 08 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Juru, Samuel",Feb 09 2024,Feb 08 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Stahl, Brittany",Feb 09 2024,Feb 08 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Uzoka, Faith-Michael",Feb 09 2024,Feb 08 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Mohammed, Yusuf",Feb 09 2026,Feb 08 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Moto, Jenny Rutayomba",Sep 04 2025,Aug 31 2028,Ministerial Order
Alberta Black Advisory Council,Member,"Coulibaly, Salif Kazir",Sep 04 2025,Aug 31 2028,Ministerial Order
Alberta Black Advisory Council,Member,"Mancey, Abbas",Sep 04 2025,Aug 31 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Kuol, Akeir Mel",Sep 04 2025,Aug 31 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Abdelhag, Musap",Sep 04 2025,Aug 31 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Ali, Farah",Sep 04 2025,Aug 31 2027,Ministerial Order
Alberta Black Advisory Council,Member,"Morrissey, Brian",Feb 09 2026,Feb 08 2028,Ministerial Order
Alberta Black Advisory Council,Member,"Osakuade, Akinseinde",Feb 09 2026,Feb 08 2029,Ministerial Order
Alberta Board of Skilled Trades,Chair & Member,"Massey, Raymond",Aug 18 2025,Aug 17 2028,Ministerial Order
Alberta Board of Skilled Trades,Member & Deputy Chair,"Suranyi, Nancy",Aug 06 2024,Aug 05 2027,Ministerial Order
Alberta Board of Skilled Trades,Member,"Anderson, Sheldon",Oct 08 2024,Oct 07 2027,Ministerial Order
Alberta Board of Skilled Trades,Member,"Boutin, Blaine",Oct 08 2024,Oct 07 2027,Ministerial Order
Alberta Board of Skilled Trades,Member,"James, Robert",Nov 18 2024,Nov 17 2027,Ministerial Order
