province,type,name,description,website,phone,email,address,parent_ministry
BC,Agency / Organization,"Birth, adoption, death, marriage and divorce",Be advised that this page could appear in the history of your browser if you do not either delete your history or work from an incognito window.,https://www2.gov.bc.ca/gov/content/life-events,1-888-876-1633,,,
BC,Agency / Organization,British Columbians and our governments,The B.C. government is working with Indigenous Peoples to close socio-economic gaps.,https://www2.gov.bc.ca/gov/content/governments,,,,
BC,Agency / Organization,Data and information management,"The B.C. government and its agencies collect and create data. Datahelps detect trends, identify issues and develop better programs. Find out how you can access, explore and use government data and statistics.",https://www2.gov.bc.ca/gov/content/data,,,,
BC,Agency / Organization,Accessibility Statement,We are committed to making gov.bc.ca accessible and inclusive. Our goal is to meetLevel AA of the Web Content Accessibility Guidelines (WCAG).,https://www2.gov.bc.ca/gov/content?id=E08E79740F9C41B9B0C484685CC5E412,,WebStandards@gov.bc.ca,,
BC,Agency / Organization,"Employment, business and economic development","A targeted strategy to deliver major projects, expand skills training and grow key sectors to strengthen the economy.",https://www2.gov.bc.ca/gov/content/employment-business,,,,
BC,Agency / Organization,Environmental protection and sustainability,"Discover how B.C. is tackling climate change through pollution reduction, waste management and green innovation.",https://www2.gov.bc.ca/gov/content/environment,,,,
BC,Agency / Organization,Taxes and tax credits,Stay up to date:Get email notificationswhen we update important information on our website.,https://www2.gov.bc.ca/gov/content/taxes,1-877-977-0858,,,
BC,Agency / Organization,Housing and tenancy,Tenants and landlords can find information and resources to guide them from the start of a tenancy to the end of a tenancy.,https://www2.gov.bc.ca/gov/content/housing-tenancy,,,,
BC,Agency / Organization,"Law, crime and justice","Explore how justice is delivered in B.C., including mediation, arbitration, tribunals and system reform.",https://www2.gov.bc.ca/gov/content/justice,,,,
BC,Agency / Organization,Public safety and emergency services,"Learn about public safety in B.C. including emergency alerts, fire safety and protection services.",https://www2.gov.bc.ca/gov/content/safety,,,,
BC,Agency / Organization,Careers & MyHR,"The self-service website for prospective, new and existing BC Public Service employees to find information, answers and job search support.",https://www2.gov.bc.ca/gov/content/careers-myhr,,,,
BC,Agency / Organization,Contact us,Service BC can guide you through Government of British Columbia programs and services.Information may be collectedto help us assess and respond to your enquiry.,https://www2.gov.bc.ca/gov/content/home/get-help-with-government-services,1-800-663-7867,,,
BC,Agency / Organization,Tourism and immigration,B.C.'s official travel and tourism site offers guides and tools to help you #ExploreBC.,https://www2.gov.bc.ca/gov/content/tourism-immigration,,,,
BC,Agency / Organization,"Sports, recreation, arts and culture","Learn about sports participation, hosting, funding and safety. Find resources for athlete development.",https://www2.gov.bc.ca/gov/content/sports-culture,,,,
BC,Agency / Organization,Organizational structure,"British Columbia's elected leaders and public servants are here to serve the citizens of B.C. and they're held accountable for their actions and decisions that impact residents. Learn about the different government bodies, the people that staff them and the work that they do.For more information and educational resources visit theParliamentary Education and Visitor Informationsite.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure,,,,
BC,Agency / Organization,Lieutenant Governor,"The Lieutenant Governor of B.C. represents the King at theprovincial level in Canada and is the legal head of state in British Columbia, which means he or she acts as chief public representative and has the highest ranking position in the provincial government.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/lieutenant-governor,,,,
BC,Agency / Organization,Cabinet,"The B.C. Executive Council, also called the Cabinet of British Columbia, includes the Lieutenant Governor in Council, the Premier, and Cabinet Ministers. These Ministers are members of the Legislative Assembly and are chosen by the Lieutenant Governor and Premier.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/cabinet,,,,
BC,Agency / Organization,Office of the Premier,"The Premier acts as the head of government for B.C. In other words, he or she is the first minister and chief officer of the executive branch.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/office-of-the-premier,250-387-1715,premier@gov.bc.ca,,
BC,Agency / Organization,Central Agencies,"In addition to ministries and Crown corporations, there are a number of independent or partially independent agencies, boards and commissions that are essential to the effective governance of the province.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/central-government-agencies,,,,
BC,Agency / Organization,Ministries,"The BC Public Service is divided into ministries. Each ministry is responsible for a specific area of public policy, government function or service delivery.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries,,,,
BC,Agency / Organization,Legislative Assembly,"The Legislature of British Columbia is composed of the Lieutenant Governor and 93 elected Members of the Legislative Assembly (MLAs). Together, members of the governing party, members of the opposition and independent members make up the B.C. Legislative Assembly.",https://www2.gov.bc.ca/gov/content/governments/organizational-structure/legislative-assembly,,,,
