province,type,name,description,website,phone,email,address,parent_ministry
MB,Crown Corporation,Manitoba Hydro,"In homes and businesses across this province, you can trust us to warm your nights, brighten your days and fuel your vision. When you need us, we’ll be there. Deliveringenergy for life– however you live it.",https://www.hydro.mb.ca/,,,,Crown Services
MB,Crown Corporation,Manitoba Public Insurance,,https://www.mpi.mb.ca/,204-985-7000,,,Crown Services
MB,Crown Corporation,Manitoba Liquor and Lotteries,We enrich the lives of Manitobans by making the greatest possible contribution to the economic and social well-being of our province.,https://www.mbll.ca/,,,,Finance
MB,Crown Agency,Manitoba Housing,"Manitoba  Housing provides a wide range of subsidized housing throughout the province of  Manitoba. We partner with other governments, community organizations and private  groups to create safe and affordable housing.",https://www.gov.mb.ca/housing/,,homelessness@gov.mb.ca,,"Housing, Addictions and Homelessness"
MB,Museum,Manitoba Museum,"Immersivegalleries, interactiveexhibits, thrillingshows, and thestoriesyou’ll remember forever.",https://manitobamuseum.ca/,18163249123,Info@ManitobaMuseum.ca,,"Sport, Culture, Heritage and Tourism"
MB,Independent Agency,Manitoba Advocate for Children and Youth,The Manitoba Advocate for Children and Youth (MACY) is here to make sure the voices of young people are heard.,https://manitobaadvocate.ca/,(204) 988-7440,info@manitobaadvocate.ca,,Families
MB,Independent Agency,Information and Privacy Adjudicator,,https://ipc.mb.ca/,,,,Justice and Attorney General
MB,Museum / Gallery,Winnipeg Art Gallery,"Join us on the second Sunday of June for free admission to WAG-Qaumajuq and more family fun, thanks to Canada Life!",https://www.wag.ca/,204.786.6641,inquiries@wag.ca,,"Sport, Culture, Heritage and Tourism"
MB,Archives,Archives of Manitoba,"We acknowledge that the Archives of Manitoba is located on  Treaty 1 Territory and that Manitoba is located on the Treaty Territories and  ancestral lands of the Anishinaabeg, Anishininewuk, Dakota Oyate, Denesuline  and Nehethowuk Nations. We acknowledge Manitoba is located on the Homeland of  the Red River Métis. We acknowledge northern Manitoba includes lands that were  and are the ancestral lands of the Inuit.",https://www.gov.mb.ca/chc/archives/,,archives@gov.mb.ca,,"Sport, Culture, Heritage and Tourism"
MB,Independent Agency,Ombudsman Manitoba,"and protecting your access to information, privacy and whistleblowing protection rights",https://www.ombudsman.mb.ca/,1-800-665-0531,ombudsman@ombudsman.mb.ca,,Justice and Attorney General
MB,Crown Corporation,"Liquor, Gaming and Cannabis Authority of Manitoba","The Liquor, Gaming and Cannabis Authority of Manitoba acknowledges that we provide services on all Treaty Territories in Manitoba and that Manitoba is located on the Treaty Territories and ancestral lands of the Anishinaabeg, Anishininewuk, Dakota Oyate, Denesuline and Nehethowuk Nations.",https://www.lgcamb.ca/,,,,Finance
MB,Crown Corporation,Manitoba Agricultural Services Corporation,Safeguard your operation with a variety of insurance programs from MASC.,https://www.masc.mb.ca/,,,,Agriculture
MB,Crown Corporation,Workers Compensation Board of Manitoba,We are returning excess funds to Manitoba employers.Learn more.,https://www.wcb.mb.ca/,,,,Labour and Immigration
MB,Agency,Legal Aid Manitoba,"We provided a range of poverty law services, including disputes involved housing, government benefits andMental Health Actdetentions.",https://www.legalaid.mb.ca/,,,,Justice and Attorney General
MB,Commission,Manitoba Human Rights Commission,"The Manitoba Human Rights Commission offices are located on Treaty 1 territories, and serve the people of what is now known as Manitoba. This includes Treaty 1, 2, 3, 4, 5, 6 and 10 territories â the ancestral lands of the Anishinaabeg, Anishininewuk, Dakota Oyate, Denesuline and Nehethowuk Nations, and the homeland of the Red River Metis.  We acknowledge northern Manitoba includes the ancestral lands of the Inuit.",https://www.manitobahumanrights.ca/,(204) 945-3007,hrc@gov.mb.ca,,Justice and Attorney General
MB,Association,Manitoba Chambers of Commerce,Insightful. Impactful. Influential. Smart policy and strategic advocacy to boost competitiveness and support our community.,https://mbchamber.mb.ca/,204 948 0100,,,"Economic Development, Investment, Trade and Natural Resources"
MB,Crown Corporation,Search Programs and Services,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/,,,,
MB,Crown Corporation,Resident and online services,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/,,,,
MB,Crown Corporation,Forms,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/forms.html,,,,
MB,Crown Corporation,Finding Work,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/findingwork.html,,,,
MB,Crown Corporation,Publications,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/publications.html,,,,
MB,Crown Corporation,Online Services,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/onlineservices.html,,,,
MB,Crown Corporation,Mobile Applications,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/apps/,,,,
MB,Crown Corporation,Business,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/business/,,,,
MB,Crown Corporation,Social Media Directory,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/socialmedia/,,,,
MB,Crown Corporation,Search for Business Information,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/business/,,,,
MB,Crown Agency,Manitoba Film & Music,MFM's monthly look at what is happening in Manitoba's film and music industries,https://mbfilmmusic.ca/,1 (204) 947-2040,info@mbfilmmusic.ca,,"Economic Development, Investment, Trade and Natural Resources"
MB,Crown Corporation,Starting a Business,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/business/startingsmart/,,,,
MB,Crown Corporation,Business Research,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/business/businessresearch/,,,,
MB,Crown Corporation,Financing a Business,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/business/financing/,,,,
MB,Crown Corporation,"Registration, Legal and Licencing","The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/business/registration/,,,,
MB,Crown Corporation,Doing Business with Government,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/business/doingbusiness/,,,,
MB,Crown Corporation,Entrepreneurship Manitoba,"We register information about corporations and business names. The public may   search the registry to obtain information (for example, who is doing business   under the trade name, where the business is located, and to get a list of   officers and directors).When individuals want to incorporate or register their trade name, we review   the proposed names to make sure that they aren't confusingly similar to ones   already on our record. Then our office will incorporate the company or register   the business name.Finally, we are also responsible for the appointments and renewals of   Commissioner for Oaths and Notary Publics.Hours of OperationThe Companies Office hours are: Monday through Friday, from 8:30 a.m. to 4:30   p.m. (Central Time).Activities...Business NamesChange of Name (BUSINESS)Commissioner for Oaths and Notary Public AppointmentsCompany NamesCorporations NamesIncorporation (of a business)Limited PartnershipSearches: Business Names, Corporations, Trade Namestop of page",https://companiesoffice.gov.mb.ca/,204-945-2500,,,
MB,Crown Corporation,BizPaS,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/business/bizpas/,,,,
MB,Crown Corporation,BizPaL,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//bizpalmanitoba.ca/,,,,
MB,Crown Corporation,Premier,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/minister/premier/,,,,
MB,Crown Corporation,Government,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/government/,,,,
MB,Crown Corporation,Cabinet Ministers,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/minister/,,,,
MB,Crown Corporation,"Agencies, Boards and Commissions","The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/government/abc/,,,,
MB,Crown Corporation,Proactive Disclosure,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/government/proactive_disclosure.html,,,,
MB,Crown Corporation,Legislative Assembly,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.gov.mb.ca/legislature/,,,,
MB,Crown Corporation,Communities around Manitoba,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//residents.gov.mb.ca/communities.html,,,,
MB,Crown Corporation,Manitoba Courts,"The Manitoba Courts have issued an updated Electronic Devices policy effective November 12, 2025.",https://www.manitobacourts.mb.ca/,,,,
MB,Crown Corporation,Manitoba Laws,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//web2.gov.mb.ca/laws/index.php,,,,
MB,Crown Corporation,Visitors,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.travelmanitoba.com/,,,,
MB,Crown Corporation,Places to Go,"The page or link you attempted to access is either outdated, inaccurate or not accessible.Return toManitoba.ca;ContactManitoba Government Inquiry.",https://www.gov.mb.ca//www.travelmanitoba.com/places-to-go/,,,,
