province,type,name,about,priorities,website,phone,email,address,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
NB,Department,Education and Early Childhood Development,Looking for the previous page for this organization? VisitEducation and Early Childhood Development,,https://www.gnb.ca/en/org/education-early-childhood-development.html,506-453-3678,,"2000 250 King Street Fredericton, New Brunswick",,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,"Agriculture, Aquaculture and Fisheries","Looking for the previous page for this organization? VisitAgriculture, Aquaculture and Fisheries",,https://www.gnb.ca/en/org/agriculture-aquaculture-fisheries.html,506-453-3826,,"1350 Regent Street Fredericton, New Brunswick",Sustainable Canadian Agricultural Partnership,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Emergency Measures Organization,The New Brunswick Emergency Measures Organization is responsible in coordinating provincial emergency operations.,,https://www.gnb.ca/en/org/nbemo.html,506-453-2133,,"65 Brunswick Street Fredericton, New Brunswick",New Brunswick Emergency Measures Organization (NBEMO),,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Energy,Looking for the previous page for this organization? VisitNatural Resources and Energy Development,,https://www.gnb.ca/en/org/energy.html,506-658-3180,,"675 King Street 5th Floor Fredericton, New Brunswick",,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Economic and Social Inclusion Corporation,Looking for the previous page for this organization? VisitEconomic and Social Inclusion Corporation,,https://www.gnb.ca/en/org/economic-social-inclusion.html,506-444-2977,,"440 King Street Room: 423 Floor: 4 Fredericton, New Brunswick",,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Health,"The Department of Health is responsible for supporting excellence in health care to ensure a healthy New Brunswick. We work with regional health authorities and partners like professional and regulatory organizations to support access to services so patients can access the health-care services they need, improve coordination of health-care services and provide people with access to information about their health.",,https://www.gnb.ca/en/org/health.html,506-457-4800,,"520 King Street Fredericton, New Brunswick",Provincial Health Plan,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Indigenous Affairs,"Indigenous Affairs is responsible for the coordination of the Province’s initiatives with First Nations and oversees government’s overall approach to Indigenous relations. We are the main point of contact and represent the interests of the Province in multilateral initiatives and negotiations. We also lead the consultation and accommodation process with Indigenous Nations and provide research, analysis, and policy advice to government on matters involving Indigenous peoples. We work with Indigenous communities and organizations, public and private groups and businesses, and all levels of government.",,https://www.gnb.ca/en/org/indigenous-affairs.html,506-462-5846,,"675 King Street Floor 4 Fredericton, New Brunswick",,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Intergovernmental Affairs (Executive Council),Looking for the previous page for this organization? VisitIntergovernmental Affairs,,https://www.gnb.ca/en/org/intergovernmental-affairs.html,506-453-6930,,"675 King Street Fredericton, New Brunswick",Intergovernmental Affairs,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Justice and Public Safety,Looking for the previous page for this organization? VisitJustice and Public Safety,,https://www.gnb.ca/en/org/justice-public-safety.html,506-453-3992,,"20 McGloin Street Floor 3 Fredericton, New Brunswick",Youth Justice,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Natural Resources,Looking for the previous page for this organization? VisitNatural Resources and Energy Development,,https://www.gnb.ca/en/org/natural-resources.html,506-453-3826,,2026 forest-fire season in New Brunswick,Fire Watch,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,New Brunswick Cancer Network,"The New Brunswick Cancer Network (NBCN) is a branch of the Department of Health and its mission is to reduce the burden of cancer for all New Brunswickers through the planning, delivery and evaluation of sustainable cancer services.",,https://www.gnb.ca/en/org/new-brunswick-cancer-network.html,506-457-4800,,"520 King Street Fredericton, New Brunswick",New Brunswick Cancer Network,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Office of Women and Gender Equity,Looking for the previous page for this organization? VisitOffice of Women and Gender Equity,,https://www.gnb.ca/en/org/womens-equality.html,506-453-8126,,"675 King Street Fredericton, NB",International Women’s Day,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,New Brunswick Housing Corporation,"The New Brunswick Housing Corporation is responsible for creating the conditions for safe, affordable and accessible housing for all New Brunswickers. We build, maintain and operate provincially owned housing, develop and deliver housing programs and initiatives, and provide residential tenancy services. We work with all levels of government and stakeholder groups, including not-for profit organizations, educational institutes, and the private sector, to improve housing options for all New Brunswickers.",,https://www.gnb.ca/en/org/housing-corporation.html,1-833-355-3262,,"551 King Street Fredericton, New Brunswick",New Brunswick Housing Corporation,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Office of the Chief Medical Officer of Health,Looking for the previous page for this organization? VisitOffice of the Chief Medical Officer of Health (Public Health),,https://www.gnb.ca/en/org/ocmoh.html,506-457-4800,,"520 King Street Floor: 5 Fredericton, New Brunswick",,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
NB,Department,Office of the Premier,"Susan Holt has both local and global business experience having worked in sales, human resources, and global management roles with large information technology firms. She also has experience in community leadership, provincial and national advocacy, and social enterprise leadership, as well as experience within government working on social and economic policy. The insight she has gained throughout her career and through connection to community has provided her with a deep appreciation for the challenges New Brunswickers are facing.",,https://www.gnb.ca/en/org/office-of-the-premier.html,506-453-2144,,"675 King Street Fredericton, New Brunswick",Premier Susan Holt,,,https://www.gnb.ca/en/gov/contacts.html,,https://www.twitter.com/susanholt,https://www.facebook.com/susanholtNB,,https://www.instagram.com/susancholt/
NB,Department,Opportunities NB,"Opportunities NB is responsible for attracting global investment and supporting business development across the province. We help businesses grow, scale, access new markets, address labour force needs, and connect with local industry partners and expertise. We work with businesses of all sizes, investors, and stakeholders in every region of New Brunswick to help companies reach their full potential more efficiently.",,https://www.gnb.ca/en/org/opportunities-nb.html,506-453-5471,,"2000 250 King Street Fredericton, NB E3B 9M9 Canada Mailing address Place 2000 250 King Street Fredericton, NB",Opportunities New Brunswick,,,https://www.gnb.ca/en/gov/contacts.html,,,,,
