province,type,name,about,priorities,website,phone,email,address,minister_name,minister_phone,minister_email,minister_url,minister_photo_url,twitter,facebook,youtube,instagram
NS,Department,Hospitals,,,https://novascotia.ca/dhw/about/hospitals.asp,,,,,,,,,,,,
NS,Department,Agriculture,We also have more information on the beta website. If you canât find what youâre looking for visit thevisit the beta website.,,https://novascotia.ca/agri/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Museums,,,https://museum.novascotia.ca/our-museums,,,,,,,,,,,,
NS,Department,Community Services,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/coms/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Human Rights Commission,"The Nova Scotia Human Rights Commission is committed to actively engaging and working with all Nova Scotians and our diverse communities to address issues of discrimination by effectively advancing equity and dignity, fostering positive and respectful relationships, and protecting human rights.",,https://humanrights.novascotia.ca/,,,,Human Rights in Nova Scotia,(902)424-4111,hrcinquiries@novascotia.ca,https://humanrights.novascotia.ca/contact-us,,,https://www.facebook.com/NSHumanRights,https://www.youtube.com/channel/UCo4VtAvGOaJdnX3gozG6iYA,https://www.instagram.com/nshumanrights/
NS,Department,"Communities, Culture, Tourism and Heritage",We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,http://cch.novascotia.ca/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Advanced Education,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/lae/ae,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Finance and Treasury Board,,,https://novascotia.ca/finance/,,,,,,,,,,,,
NS,Department,Fisheries and Aquaculture,Some Department of Fisheries and Aquaculture information is on the old website (you're on the old website now).,,https://novascotia.ca/fish/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Environment and Climate Change,Some Department of Environment and Climate and Change information is on the old website (you're on the old website now).,,https://novascotia.ca/nse/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Health and Wellness,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/dhw/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Intergovernmental Affairs,Some Department of Intergovernmental Affairs information is on the old website (you're on the old website now).,,https://novascotia.ca/iga/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Justice,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/just/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Municipal Affairs and Housing,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/dma/default.asp,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Energy and Mines,Some Department of Energy and Mines information is on the old website (you’re on the old website now).,,https://novascotia.ca/energy/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Provincial Parks,Parking lot construction has been completed at Martinique Beach. Please use caution entering the park.,,https://parks.novascotia.ca/,,,,Upgraded Campsites at Dollar Lake Opening July 11,1-800-670-4357,,https://novascotia.ca/contact-us,,,https://www.facebook.com/NSProvincialParks/,,https://www.instagram.com/ns_parks/?hl=en
NS,Department,Ombudsman,"Le jeudi 9 octobre est la Journée mondiale de l'ombudsman, une journée de sensibilisation au rôle unique de l'ombudsman.",,https://novascotia.ca/ombu/,1-800-670-1111,,,World Ombuds Day,1-800-670-4357,,https://novascotia.ca/contact-us,,https://twitter.com/NS_Ombudsman,https://www.facebook.com/Nova-Scotia-Ombudsman-107686089866,https://www.youtube.com/channel/UCzm3m03HaHtWsECUwVZidVA,
NS,Department,Natural Resources and Renewables,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/natr/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Public Works,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/tran/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Seniors and Long-term Care,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/seniors/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Public Service Commission,We also have more information on the beta website. If you canât find what youâre looking forvisit the beta website.,,https://novascotia.ca/psc/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Labour Skills and Immigration,We also have more information on the beta website. If you can't find what you're looking forvisit the beta website.,,https://novascotia.ca/lwd/,,,,,,,,,https://www.twitter.com/nsgov,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Advisory Council on the Status of Women,,,http://women.gov.ns.ca/,,,,,,,,,,,,
NS,Department,Acadian Affairs and Francophonie,,,http://acadien.novascotia.ca/fr,,,,,,,,,,,,
NS,Department,Economic Development,"The Department of Growth and Development drives economic growth and productivity by creating the conditions for communities, businesses and households to thrive. The Department works with key partners to foster a dynamic environment that supports housing innovation and sector development, providing the necessary solutions to grow our population and economy.",,https://beta.novascotia.ca/government/economic-development,,,,Department Information,1-800-670-4357,,https://novascotia.ca/contact-us,,https://twitter.com/NSGrowthandDev,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,African Nova Scotian Affairs,,,http://ansa.novascotia.ca/,,,,,,,,,,,,
NS,Department,Public Health Offices,Public Health promotes and protects the health of all communities in Nova Scotia. We do this by providing services and resources that promote health and allow people to be part of creating healthy communities.,,http://www.nshealth.ca/public-health-offices,902-667-3319,publichealthservices@nshealth.ca,,Emergency Care,1-800-670-4357,,https://novascotia.ca/contact,,https://twitter.com/home?status=http://www.nshealth.ca/public-health,https://www.facebook.com/sharer/sharer.php?u=http://www.nshealth.ca/public-health,,https://www.instagram.com/novascotiahealthauthority
NS,Department,Lieutenant Governor,"Today we mark what would have been Her late Majesty Queen Elizabeth II's 100th birthday. During her long life and as Queen of Canada, she toured Nova Scotia on five occasions, most recently in June 2010 to preside over the centennial of the Royal Canadian Navy, to rededicate Government House Halifax as the oldest official residence in Canada, and to participate in the celebrations of the baptism of Grand Chief Henri...",,http://lt.gov.ns.ca/,,,,National Arts Centre Orchestra,1-800-670-4357,,https://novascotia.ca/contact-us,,,https://www.facebook.com/LtGovNS,,
NS,Department,Communications Nova Scotia,,,https://beta.novascotia.ca/government/communications-nova-scotia/,,,,,,,,,,,,
NS,Department,Chief Medical Examiner,"The Nova Scotia Medical Examiner Service investigates deaths of persons who die from criminal violence, by accident, by suicide, suddenly when in apparent good health, when unattended by a physician, in a correctional facility, or in any suspicious or unusual manner. Our service is also responsible for approving cremations.",,https://novascotia.ca/just/cme/,902 424-2722,,,Justice Home,,,https://novascotia.ca/just/cp_awards/,,http://twitter.com/nsgov,https://www.facebook.com/nsgov,http://www.youtube.com/nsgov,
NS,Department,Service Nova Scotia and Internal Services,"The Department of Service Nova Scotia helps citizens, businesses and municipalities access a variety of government programs and services. We also provide common services and support (like technology services) to government departments and public sector organizations.",,https://beta.novascotia.ca/government/service-nova-scotia-and-internal-services/,,,,Department Information,1-800-670-4357,,https://novascotia.ca/contact-us,,https://twitter.com/ns_servicens,https://www.facebook.com/nsgov,https://www.youtube.com/nsgov,
NS,Department,Crop and Livestock Insurance Commission,,,https://novascotia.ca/agri/programs-and-services/financial-funding/crop-livestock-insurance/,,,,,,,,,,,,
NS,Department,Elections Nova Scotia,,,http://electionsnovascotia.ca/,,,,,,,,,,,,
NS,Department,Auditor General,We conduct and report audits that provide the House of Assembly and Nova Scotians an independent view of public sector performance and accountability.,,http://oag-ns.ca/,(902) 424-5907,NSAuditorGeneral@novascotia.ca,,Secondary Menu,1-800-670-4357,,https://novascotia.ca/contact-us,,https://www.twitter.com/OAG_NS/,https://www.facebook.com/OAGNS/,https://www.youtube.com/channel/UCNKnXMpK1wDmRD4Ca3IR9gg,https://www.instagram.com/nsauditorgeneral
NS,Department,Crane Operators Appeal Board,"You need a Certificate of Competency and Crane Operator Licence to operate a mobile crane, boom truck, overhead travelling crane or tower crane. As part of the certification process, you need to successfully complete:",,https://novascotia.ca/lwd/equipmentsafety/craneoperator.asp,1-800-952-2687,safetybranch@novascotia.ca,,Service By Subject,902-424-5301,,https://novascotia.ca/lae/contact/,,http://twitter.com/nsgov,https://www.facebook.com/nsgov,http://www.youtube.com/nsgov,
