type,about,priorities,website,twitter,facebook,youtube,instagram,name,photo_url,minister_contact_number,minister_url,emails
Department of Community Services,"Sustainable economic growth, essential infrastructure and transportation needs.",,https://www.gov.nu.ca/en/department-community-services,,,,,The Honourable David Akeeagok,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/David-Akeeagok-Legislative%20new%20MLA-400-Edit%20copy_2.jpg?itok=lSt52wVk,(867) 975-5026,https://www.gov.nu.ca/en/department-community-services/our-minister,dakeeagok6@gov.nu.ca; davidakeeagok@quttiktuqmla.ca
Department of Culture and Heritage,"Policies, programs and services to strengthen Nunavut’s culture, language, and heritage.",,https://www.gov.nu.ca/en/department-culture-and-heritage,,,,,The Honourable P.J. Akeeagok,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/PJ%20Akeeagok-Legislative%20new%20MLA-171-Edit%20copy_2.jpg?itok=fUBS1oqK,(867) 975-5050,https://www.gov.nu.ca/en/department-culture-and-heritage/our-minister,pjakeeagok@niaqunnguumla.ca; premier@gov.nu.ca
Department of Education,"Nunavut schools, early childhood education, adult education, and career development.",,https://www.gov.nu.ca/en/department-education,,,,,The Honourable Pamela Hakongak Gross,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Pamela-Gross-Legislative%20new%20MLA-049-Edit%20copy2_2.jpg?itok=rw00RfNb,(867) 975-5028,https://www.gov.nu.ca/en/department-education/our-minister,pamelagross@cambridgebaymla.ca; pgross6@gov.nu.ca
Department of Environment,"Wildlife management, parks and special places, environmental protection and fisheries and sealing.",,https://www.gov.nu.ca/en/department-environment,,,,,The Honourable David Joanasie,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/David-Joanasie-Legislative%20new%20MLA-254-Edit%20copy_1.jpg?itok=xDrsmZF-,(867) 975-5023,https://www.gov.nu.ca/en/department-environment/our-minister,davidjoanasie@southbaffinmla.ca; djoanasie6@gov.nu.ca
Department of Executive and Intergovernmental Affairs,Provides Executive Council support and communicates Government policies and objectives.,,https://www.gov.nu.ca/en/department-executive-and-intergovernmental-affairs,,,,,The Honourable P.J. Akeeagok,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/PJ%20Akeeagok-Legislative%20new%20MLA-171-Edit%20copy_2.jpg?itok=fUBS1oqK,(867) 975-5050,https://www.gov.nu.ca/en/department-executive-and-intergovernmental-affairs/our-minister,pjakeeagok@niaqunnguumla.ca; premier@gov.nu.ca
Department of Family Services,Services and support for vulnerable Nunavummiut and programs to support children and families.,,https://www.gov.nu.ca/en/department-family-services,,,,,The honourable Margaret Nakashuk,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Magaret-Nakashuk-Legislative%20new%20MLA-515-Edit%20copy%202_2.jpg?itok=vCo04mLd,(867) 975-5070,https://www.gov.nu.ca/en/department-family-services/our-minister,margaretnakashuk@pangnirtungmla.ca; mnakashuk6@gov.nu.ca
Department of Finance,"Nunavut's budget, taxes, insurance and liquor and cannabis files.",,https://www.gov.nu.ca/en/department-finance,,,,,The Honourable Lorne Kusugak,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Lorne-Kusugak-Legislative%20new%20MLA-438-Edit%20copy_1.jpg?itok=y7kw6dM7,(867) 975-5074,https://www.gov.nu.ca/en/department-finance/our-minister,lkusugak6@gov.nu.ca; lornekusugak@rankininletsouthmla.ca
Department of Health,Health services and social programming to improve the health and well-being of Nunavummiut.,,https://www.gov.nu.ca/en/department-health,,,,,The Honourable John Main,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Minister%20Main%20Portrait-083-Edit%20copy_2.jpg?itok=iWdet3J6,(867) 975-5151,https://www.gov.nu.ca/en/department-health/our-minister,jmain6@gov.nu.ca; johnmain@arviatnorthmla.ca; johnmain@whalecovemla.ca
Department of Human Resources,"Ensures human resource development goals, objectives and priorities are achieved.",,https://www.gov.nu.ca/en/department-human-resources,,,,,The Honourable David Akeeagok,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/David-Akeeagok-Legislative%20new%20MLA-400-Edit%20copy_2.jpg?itok=lSt52wVk,(867) 975-5026,https://www.gov.nu.ca/en/department-human-resources/our-minister,dakeeagok6@gov.nu.ca; davidakeeagok@quttiktuqmla.ca
Department of Justice,"Lawful conduct, correctional facilities and community justice programs.",,https://www.gov.nu.ca/en/department-justice,,,,,The Honourable Pamela Hakongak Gross,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/Pamela-Gross-Legislative%20new%20MLA-049-Edit%20copy2_2.jpg?itok=rw00RfNb,(867) 975-5028,https://www.gov.nu.ca/en/department-justice/our-minister,pamelagross@cambridgebaymla.ca; pgross6@gov.nu.ca
Department of Transportation and Infrastructure Nunavut,"Programs and funding to support municipal operations, infrastructure and land development.",,https://www.gov.nu.ca/en/department-transportation-and-infrastructure-nunavut,,,,,The Honourable David Joanasie,https://www.assembly.nu.ca/sites/default/files/styles/member_image/public/David-Joanasie-Legislative%20new%20MLA-254-Edit%20copy_1.jpg?itok=xDrsmZF-,(867) 975-5023,https://www.gov.nu.ca/en/department-transportation-and-infrastructure-nunavut/our-minister,davidjoanasie@southbaffinmla.ca; djoanasie6@gov.nu.ca
