province,type,name,description,website,phone,email,address,parent_ministry
QC,Regulatory Agency,Régie de l'énergie,,https://www.regie-energie.qc.ca/,,,,Natural Resources and Forestry
QC,Crown Corporation,Investissement Québec,,https://www.investissement-quebec.com/,,,,Economy and Innovation
QC,Crown Corporation,Loto-Québec,,https://www.lotoquebec.com/,,,,Finance
QC,Crown Corporation,Hydro-Québec,,https://www.hydroquebec.com/,,,,Natural Resources and Forestry
QC,Government Agency,Revenu Québec,Parce que nous sommes pleinement engagés à mieux vous servir!,https://www.revenuquebec.ca/,,,,Finance
QC,Crown Corporation,Société des alcools du Québec (SAQ),"Javascript est désactivé dans votre navigateur.Pour une meilleure expérience sur notre site, assurez-vous d’activer JavaScript dans votre navigateur.",https://www.saq.com/,1 866 873-2020,,,Finance
QC,Crown Agency,RECYC-QUÉBEC,Rejoignez ce grand mouvement et contribuez à réduire notre empreinte sur l’environnement.,https://www.recyc-quebec.gouv.qc.ca/,,,,Environment and the Fight against Climate Change
QC,Crown Corporation,Société québécoise d'information juridique (SOQUIJ),©️ Société québécoise d'information juridique (SOQUIJ) - Tous droits réservés | SOQUIJ est une société qui relève duministre de la Justice du Québec,https://soquij.qc.ca/,,,,Justice
QC,Museum / Gallery,Musée national des beaux-arts du Québec,Notre raison d’être : réunir autour de l’art en proposant des expériences créatives façonnées par l’excellence.,https://www.mnbaq.org/,,,,Culture and Communications
QC,Crown Agency,Conseil des arts et des lettres du Québec,"À la recherche d'une aide financière pour amorcer ou réaliser un projet artistique? Consultez les programmes offerts par le CALQ selon votre profil, votre discipline et votre lieu de résidence.",https://www.calq.gouv.qc.ca/,418 643-1707,,,Culture and Communications
QC,Agency,Office québécois de la langue française,"L’Office québécois de la langue française présenteUne valeur sûre : vocabulaire des stratégies de placement, qui est le fruit d’une collaboration avec des spécialistes du ministère des Finances, de BMO Groupe financier, de HEC Montréal et de l’École des sciences de la gestion de l’Université du Québec à Montréal[+]",https://www.oqlf.gouv.qc.ca/,,,,Culture and Communications
QC,Museum,Musée de la civilisation,"Vous cherchez quoi faire en famille à Québec? Le Musée de la civilisation est l’endroit idéal pour vivre un moment mémorable avec vos enfants ou vos petits-enfants. Entre les expositions, les activités culturelles et les ateliers éducatifs, petits et grands y trouveront de quoi s’émerveiller.",https://www.mcq.org/,,,,Culture and Communications
