Type,Ministry,About,Priorities,Website,Minister(s),Deputy Ministers,Contact,Agenda,Biography
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Samuel Poulin,,https://www.assnat.qc.ca/fr/deputes/poulin-samuel-17831/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/samuel-poulin,N/A
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Karine Boivin Roy,,https://www.assnat.qc.ca/fr/deputes/boivin-roy-karine-19255/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/karine-boivin-roy,N/A
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Mathieu Lévesque,,https://www.assnat.qc.ca/fr/deputes/levesque-mathieu-17851/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/mathieu-levesque,N/A
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Chantal Rouleau,,https://www.assnat.qc.ca/fr/deputes/rouleau-chantal-17931/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/rouleau-chantal,N/A
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Jean-François Simard,,https://www.assnat.qc.ca/fr/deputes/simard-jean-francois-5369/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/jean-francois-simard,N/A
Ministry,"Ministère de l’Agriculture, des Pêcheries et de l’Alimentation (MAPAQ)","Le ministère de l’Agriculture, des Pêcheries et de l’Alimentation influence et appuie l’essor de l’industrie bioalimentaire québécoise.",,https://www.quebec.ca/gouvernement/ministeres-organismes/agriculture-pecheries-alimentation,Donald Martel,,https://www.assnat.qc.ca/fr/deputes/martel-donald-12165/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/donald-martel,N/A
Ministry,Conseil exécutif,Le ministère du Conseil exécutif relève directement de la première ministre. Il exerce des fonctions particulières et uniques au regard de la gouvernance de l’administration publique.,,https://www.quebec.ca/gouvernement/ministeres-organismes/conseil-executif,Christine Fréchette,,https://www.quebec.ca/premiere-ministre/a-propos/nous-joindre,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/christine-frechette,N/A
Ministry,Culture et des Communications,Être le catalyseur d’une culture audacieuse et source de fierté pour le Québec.,,https://www.quebec.ca/gouvernement/ministeres-organismes/culture-communications,Mathieu Lacombe,,https://www.assnat.qc.ca/fr/deputes/lacombe-mathieu-17927/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/lacombe-mathieu,N/A
Ministry,"Ministère de l’Économie, de l’Innovation et de l’Énergie",N/A,,https://www.quebec.ca/gouvernement/ministeres-organismes/economie,Bernard Drainville,,https://www.assnat.qc.ca/fr/deputes/drainville-bernard-209/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/bernard-drainville,N/A
Ministry,"Ministère de l’Économie, de l’Innovation et de l’Énergie",N/A,,https://www.quebec.ca/gouvernement/ministeres-organismes/economie,Eric Girard,,https://www.assnat.qc.ca/fr/deputes/girard-eric-17957/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/eric-girard,N/A
Ministry,"Ministère de l’Économie, de l’Innovation et de l’Énergie",N/A,,https://www.quebec.ca/gouvernement/ministeres-organismes/economie,Daniel Bernard,,https://www.assnat.qc.ca/fr/deputes/bernard-daniel-13/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/daniel-bernard,N/A
Ministry,Ministère de l'Éducation,"Le ministère de l’Éducation veille à offrir à tous les élèves des services de qualité adaptés à leurs besoins et qui favorisent leur réussite, dans un milieu d'apprentissage sain. En soutenant le réseau scolaire, il permet aux élèves d’acquérir des savoirs et de développer des compétences qui feront d'eux des citoyens engagés et responsables. Le Ministère fait également la promotion auprès de la population d'un mode de vie physiquement actif dans des milieux sécuritaires.",,https://www.quebec.ca/gouvernement/ministeres-organismes/education,Sonia LeBel,,https://www.assnat.qc.ca/fr/deputes/lebel-sonia-17847/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/lebel-sonia,N/A
Ministry,Ministère de l'Éducation,"Le ministère de l’Éducation veille à offrir à tous les élèves des services de qualité adaptés à leurs besoins et qui favorisent leur réussite, dans un milieu d'apprentissage sain. En soutenant le réseau scolaire, il permet aux élèves d’acquérir des savoirs et de développer des compétences qui feront d'eux des citoyens engagés et responsables. Le Ministère fait également la promotion auprès de la population d'un mode de vie physiquement actif dans des milieux sécuritaires.",,https://www.quebec.ca/gouvernement/ministeres-organismes/education,Kariane Bourassa,,https://www.assnat.qc.ca/fr/deputes/bourassa-kariane-19291/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/kariane-bourassa,N/A
Ministry,Ministère de l’Emploi et de la Solidarité sociale,Le ministère de l’Emploi et de la Solidarité sociale contribue au développement social et à la prospérité économique du Québec.,,https://www.quebec.ca/gouvernement/ministeres-organismes/emploi-solidarite-sociale,Jean-François Simard,,https://www.assnat.qc.ca/fr/deputes/simard-jean-francois-5369/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/jean-francois-simard,N/A
Ministry,Ministère de l’Emploi et de la Solidarité sociale,Le ministère de l’Emploi et de la Solidarité sociale contribue au développement social et à la prospérité économique du Québec.,,https://www.quebec.ca/gouvernement/ministeres-organismes/emploi-solidarite-sociale,Chantal Rouleau,,https://www.assnat.qc.ca/fr/deputes/rouleau-chantal-17931/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/rouleau-chantal,N/A
Ministry,Ministère de l'Enseignement supérieur,L'enseignement supérieur englobe les institutions et les programmes d'études qui se situent au-delà du diplôme de secondaire. Il se divise en deux niveaux : collégial et universitaire.,,https://www.quebec.ca/gouvernement/ministeres-organismes/enseignement-superieur,Martine Biron,,https://www.assnat.qc.ca/fr/deputes/biron-martine-19297/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/martine-biron,N/A
Ministry,"Ministère de l’Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs","Le Ministère contribue à la lutte contre les changements climatiques, la protection de l’environnement et la conservation de la biodiversité au bénéfice des générations actuelles et futures.",,https://www.quebec.ca/gouvernement/ministeres-organismes/environnement,Pascale Déry,,https://www.assnat.qc.ca/fr/deputes/dery-pascale-19277/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/pascale-dery,N/A
Ministry,Famille,Le ministère de la Famille contribue à la vitalité et au développement socioéconomique du Québec en favorisant l’épanouissement des familles et le développement du plein potentiel des enfants.,,https://www.quebec.ca/gouvernement/ministeres-organismes/famille,Catherine Blouin,,N/A,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/catherine-blouin,N/A
Ministry,Finances du Québec,N/A,,https://www.quebec.ca/en/government/departments-agencies/finances,Eric Girard,,https://www.assnat.qc.ca/fr/deputes/girard-eric-17929/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/girard-eric,N/A
Ministry,"Ministère de l'Immigration, de la Francisation et de l'Intégration","Le ministère de l’Immigration, de la Francisation et de l'Intégration sélectionne les personnes immigrantes, les soutient dans leurs démarches de francisation et leur offre les services nécessaires pour faciliter leur intégration au Québec. Il sensibilise également l’ensemble de la population québécoise à la diversité pour construire un environnement toujours plus inclusif.",,https://www.quebec.ca/gouvernement/ministeres-organismes/immigration,François Bonnardel,,https://www.assnat.qc.ca/fr/deputes/bonnardel-francois-11/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/bonnardel-francois,N/A
Ministry,Justice,"Le ministère de la Justice favorise l'accessibilité à un système de justice qui soit proche des citoyens, digne de confiance et intègre afin de faciliter l'exercice des droits des citoyens.",,https://www.quebec.ca/gouvernement/ministeres-organismes/justice,Simon Jolin-Barrette,,https://www.assnat.qc.ca/fr/deputes/jolin-barrette-simon-15359/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/jolin-barrette-simon,N/A
Ministry,Langue française,Le Ministère veille à renforcer le français en tant que seule langue officielle et langue commune au Québec.,,https://www.quebec.ca/gouvernement/ministeres-organismes/langue-francaise,Jean-François Roberge,,https://www.assnat.qc.ca/fr/deputes/roberge-jean-francois-15361/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/roberge-jean-francois,N/A
Ministry,Relations internationales et de la Francophonie,"La mission du Ministère est de diriger l’action internationale du gouvernement et assurer le développement économique, le rayonnement de l’identité et la défense des intérêts du Québec.",,https://www.quebec.ca/gouvernement/ministeres-organismes/relations-internationales,Christopher Skeete,,https://www.assnat.qc.ca/fr/deputes/skeete-christopher-17873/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/christopher-skeete,N/A
Ministry,MRNF : Ressources naturelles et Forêts,"D’une superficie de 1,7millionkm2, le territoire québécois se distingue par son étendue et l’abondance de ses ressources. Dans une perspective de développement durable, notre mission est d’assurer la gestion et de soutenir la mise en valeur des ressources forestières et minérales ainsi que du territoire du Québec.",,https://www.quebec.ca/gouvernement/ministeres-organismes/ressources-naturelles-forets,Kateri Champagne Jourdain,,https://www.assnat.qc.ca/fr/deputes/champagne-jourdain-kateri-19303/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/kateri-champagne-jourdain,N/A
Ministry,Santé et des Services sociaux,"Le ministère de la Santé et des Services sociaux (MSSS) souscrit aux cinq valeurs fondamentales de la fonction publique québécoise que sont la compétence, l'impartialité, l'intégrité, la loyauté et le respect pour réaliser sa mission. Il s’appuie également sur des valeurs qui lui sont propres, soit le courage, l’humanisme, la rigueur et le leadership.",,https://www.quebec.ca/gouvernement/ministeres-organismes/sante-services-sociaux,Sonia Bélanger,,https://www.assnat.qc.ca/fr/deputes/belanger-sonia-19281/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/sonia-belanger,N/A
Ministry,Santé et des Services sociaux,"Le ministère de la Santé et des Services sociaux (MSSS) souscrit aux cinq valeurs fondamentales de la fonction publique québécoise que sont la compétence, l'impartialité, l'intégrité, la loyauté et le respect pour réaliser sa mission. Il s’appuie également sur des valeurs qui lui sont propres, soit le courage, l’humanisme, la rigueur et le leadership.",,https://www.quebec.ca/gouvernement/ministeres-organismes/sante-services-sociaux,Lionel Carmant,,https://www.assnat.qc.ca/fr/deputes/carmant-lionel-17893/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/carmant-lionel,N/A
Ministry,Secrétariat du Conseil du trésor,Le Secrétariat du Conseil du trésor est l'appareil administratif du Conseil du trésor. Il trouve son assise légale dans la Loi sur l'administration publique.,,https://www.quebec.ca/gouvernement/ministeres-organismes/secretariat-conseil-tresor,France-Élaine Duranceau,,https://www.assnat.qc.ca/fr/deputes/duranceau-france-elaine-19257/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/france-elaine-duranceau,N/A
Ministry,Tourisme,"Visant à favoriser la prospérité du secteur touristique, le rôle du Ministère se traduit par la mise en place d’un environnement d’affaires propice au développement du potentiel touristique du Québec.",,https://www.quebec.ca/gouvernement/ministeres-organismes/tourisme,Amélie Dionne,,https://www.assnat.qc.ca/fr/deputes/dionne-amelie-19273/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/amelie-dionne,N/A
Ministry,transports et de la Mobilité durable,"The Ministère des Transports et de la Mobilité durable actively contributes to the prosperity of Québec and its territories. Through the importance it places on sustainable mobility, the Ministère ensures the development of safe and efficient transportation systems.",,https://www.quebec.ca/en/government/departments-agencies/transports,Benoit Charette,,https://www.assnat.qc.ca/fr/deputes/charette-benoit-195/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/charette-benoit,N/A
Ministry,transports et de la Mobilité durable,"The Ministère des Transports et de la Mobilité durable actively contributes to the prosperity of Québec and its territories. Through the importance it places on sustainable mobility, the Ministère ensures the development of safe and efficient transportation systems.",,https://www.quebec.ca/en/government/departments-agencies/transports,Bernard Drainville,,https://www.assnat.qc.ca/en/deputes/drainville-bernard-209/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/bernard-drainville,N/A
Ministry,Travail,"Le ministère du Travail offre différents services et renseignements en matière de relations du travail. Il s’adresse principalement aux citoyens, aux employeurs et aux associations patronales et syndicales.",,https://www.quebec.ca/gouvernement/ministeres-organismes/travail,Jean Boulet,,https://www.assnat.qc.ca/fr/deputes/boulet-jean-17899/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres,N/A
