agency_name,agency_url,description
Agri-Food Council,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/agri-food-council,The Agri-Food Council is an independent board that supervises and monitors all agri-food agencies in Saskatchewan.
Apprenticeship and Trade Certification Commission,https://saskapprenticeship.ca/,The Apprenticeship and Trade Certification Act 1999 authorizes the Apprenticeship and Trade Certification Commission to manage the Apprenticeship and Trade Certification system.
Athletics Commission of Saskatchewan,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/athletics-commission-of-saskatchewan,"The Athletics Commission of Saskatchewan (ACS)provides licensing, event permits and oversight for professional combative sports events in Saskatchewan."
Automobile Injury Appeal Commission,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/automobile-injury-appeal-commission,"The Automobile Injury Appeal Commission is an independent, quasi-judicial administrative tribunal responsible for hearing no fault benefits appeals under the Personal Injury Protection Plan administered by Saskatchewan Government Insurance (SGI)."
Board of Revenue Commissioners,https://www.saskatchewan.ca/business/taxes-licensing-and-reporting/file-an-appeal-regarding-provincial-taxes,The Board of Revenue Commissioners has the power to hear and determine appeals respecting taxes imposed or assessed pursuant to and by virtue of any taxing enactment and respecting other monies claimed to be due and payable to the Crown where the right of taking appeal to the Board is given by any statute.
Bureau of Statistics,https://www.saskatchewan.ca/government/government-data/bureau-of-statistics,The Saskatchewan Bureau of Statistics operates under the Saskatchewan Statistics Act 1972 and is located within the Ministry of Finance. The Bureau is the designated focal point for communications with Statistics Canada and dissemination of its information.
Community Initiatives Fund,https://www.cifsask.org,The Community Initiatives Fund is a Special Purpose Fund created through The Saskatchewan Gaming Corporation Act. CIF receives a portion of the net revenues from Casinos Regina and Moose Jaw and distributes those proceeds to support community-based projects throughout Saskatchewan.
Creative Saskatchewan,https://www.creativesask.ca/,"Creative Saskatchewan invests in entrepreneurs who choose to pursue commercial success in screen-based media, music, publishing, live performing arts, fine craft & visual art, and digital media. The agency further supports these creative sectors by providing operational funding to seven industry associations, each of which is committed to expanding the economic impact of the creative industries."
Farm Land Security Board and Farm Ownership,https://www.saskatchewan.ca/government/government-structure/boards-commissions-and-agencies/farm-land-security-board-and-farm-ownership,The Farm Land Security Board is a quasi-judicial tribunal whose members are appointed by the Lieutenant Governor in Council. It is funded and managed as part of the Ministry of Agriculture but does not take direction in its decision-making from the government.
Heritage Review Board,https://www.saskatchewan.ca/residents/parks-culture-heritage-and-sport/heritage-conservation-and-commemoration/heritage-properties/review-board,"The Heritage Review Board provides a platform for public objections to proposed designations, repeals, alteration, or demolition of designated property."
