province,type,name,description,website,phone,email,address,parent_ministry
YT,Crown Corporation,Yukon Lottery Commission,,https://yukonlottery.ca/,,,,Finance
YT,Crown Corporation,Yukon Housing Corporation,,https://yukonhousing.ca/,,,,Community Services
YT,Archives,Yukon Archives,,https://yukon.ca/en/archives,,,,Tourism and Culture
YT,Museum,Yukon Transportation Museum,,https://yukon.ca/en/transportation-museum,,,,Highways and Public Works
YT,Museum,Old Log Church Museum,,https://oldlogchurch.ca/,,,,Tourism and Culture
YT,Museum,Yukon Beringia Interpretive Centre,"Kilometre 1423 (Mile 886) Alaska Hwy, Box 2703, Whitehorse, Yukon |867.667.8855|beringia@yukon.ca",https://beringia.com/,867.667.8855,beringia@yukon.ca,,Tourism and Culture
YT,Museum,Dawson City Museum,,https://dawsonmuseum.ca/,,,,Tourism and Culture
YT,Independent Agency,Yukon Information and Privacy Commissioner,,https://ipc.gov.yk.ca/,,,,Justice
YT,Independent Agency,Yukon Child and Youth Advocate Office,,https://ycya.ca/,,,,Justice
YT,Board / Commission,Yukon Land Use Planning Council,,https://ylupc.ca/,,,,"Energy, Mines and Resources"
YT,Crown Agency,Yukon Arts Centre,Monday–Friday 10 am–5 pmSaturday–Sunday ClosedOpen during performances.,https://yukonartscentre.com/,867-667-8574,,,Tourism and Culture
YT,Crown Corporation,Yukon Development Corporation,,https://ydc.yk.ca/,,,,"Energy, Mines and Resources"
YT,Independent Agency,Yukon Environmental and Socio-Economic Assessment Board,"Yukon Environmental and Socio-economic Assessment Board (YESAB) is a neutral, independent, modern land claims–based assessment body. We consider environmental, socio-economic, and cultural effects of proposed projects to support informed decisions about development in the Yukon.",https://yesab.ca/,867-668-6420,yesab@yesab.ca,,"Energy, Mines and Resources"
YT,Board / Commission,Yukon Public Utilities Board,,https://yukon.ca/en/public-utilities-board,,,,Finance
YT,Independent Agency,Yukon Human Rights Commission,A guide for complainants and respondents to the human rights complaint process.,https://yukonhumanrights.ca/,867.667.6226,,,Justice
YT,Museum / Historic Site,SS Klondike National Historic Site,"Colourful frontier buildings line old-time boardwalks in Dawson City, and a vintage sternwheeler intertwines the present with the Klondike Gold Rush days, when some 50,000 gold-seekers stampeded north. Visit the goldfields, a barren landscape of dreams, and the elegant Commissioner’s residence. Explore a famed poet’s historic log cabin and a gold rush theatre, and experience a magical northern town in the heart of Tr’ondëk Hwëch’in Traditional Territory.",https://parks.canada.ca/lhn-nhs/yt/klondike,1-833-507-0980,dawsoninfo@pc.gc.ca,,Tourism and Culture
YT,Museum,MacBride Museum of Yukon History,"1124 Front St.Whitehorse, Yukon CanadaY1A 1A4Phone:(867) 667-2709Email:.(JavaScript must be enabled to view this email address)",https://macbridemuseum.com/,(867) 667-2709,,,Tourism and Culture
YT,Crown Corporation,Yukon Workers' Compensation Health and Safety Board,Explore our 2025 Annual Report to see how WSCB is supporting workers and employers across the Yukon.,https://wcb.yk.ca/,867-667-5645,,,Community Services
YT,Crown Corporation,Yukon Energy Corporation,"We’ve heard recent concerns from Whitehorse residents about noise from our diesel generators and want to share an update on the noise mitigation solution we are working to implement. 

In Yukon, thermal resources such as diesel and liquefied natural gas (LNG) continue to play an important role in meeting winter peak demand and ensuring reliable power year-round. 

To better understand and address noise at the Whitehorse Rapids Diesel Facility, we have engaged engineering firms over recent years to monitor sound levels, identify operational noise sources, and evaluate mitigation options. Based on this work, we submitted an environmental monitoring and noise mitigation plan to Environment Yukon in 2025 and are now advancing an engineered solution to reduce facility noise. 

The proposed solution involves replacing the exhaust silencers on the facility’s four older diesel units with newer, more effective models. This proposal is currently under review by Environment Yukon. 

In the meantime, we have issued a request for proposals (RFP) to move the project forward. Because the solution requires custom design and fabrication rather than an off-the-shelf product, a more detailed timeline will be available once procurement is complete. Our goal is to have the solution installed and operational before December 31, 2026, in accordance with our air emissions permit. 

We appreciate the ongoing dialogue with the community and will continue to keep the public informed. We also plan to host a meeting with Riverdale residents in the coming months to provide an opportunity for questions and discussion about this work. 

At the Faro Diesel Facility, we are developing a new noise modelling report and updating the existing noise management plan, as required under our air emissions permit.",https://yukonenergy.ca/,,,,"Energy, Mines and Resources"
YT,Independent Agency,Yukon Ombudsman,,https://ombudsman.yk.ca/,,,,Justice
