Type,Ministry,About,Priorities,Website,Minister(s),Deputy Ministers,Contact,Agenda,Biography
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Andrée Laforest,,http://www.assnat.qc.ca/fr/deputes/laforest-andree-17913/index.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/laforest-andree,N/A
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,France-Élaine Duranceau,,http://www.assnat.qc.ca/fr/deputes/duranceau-france-elaine-19257/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/france-elaine-duranceau,N/A
Ministry,Affaires municipales et de l'Habitation,"Initialement créé en 1918 pour organiser et superviser les municipalités qui faisaient face aux défis liés à la modernisation de la société québécoise, le Ministère est devenu, plus de 100 ans plus tard, un acteur essentiel du développement local. Il collabore plus que jamais avec les municipalités et travaille en partenariat avec elles pour accroître leur autonomie.",,https://www.quebec.ca/gouvernement/ministeres-organismes/affaires-municipales,Christine Fréchette,,http://www.assnat.qc.ca/fr/deputes/frechette-christine-19269/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/christine-frechette,N/A
Ministry,"Ministère de l’Agriculture, des Pêcheries et de l’Alimentation (MAPAQ)","Le ministère de l’Agriculture, des Pêcheries et de l’Alimentation influence et appuie l’essor de l’industrie bioalimentaire québécoise.",,https://www.quebec.ca/gouvernement/ministeres-organismes/agriculture-pecheries-alimentation,André Lamontagne,,https://www.assnat.qc.ca/fr/deputes/lamontagne-andre-15401/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/lamontagne-andre,N/A
Ministry,Conseil exécutif,The ministère du Conseil exécutif is under the direct authority of the Premier. It carries out specific and unique functions concerning the governance of the public administration.,,https://www.quebec.ca/en/gouvernement/ministere/conseil-executif,François Legault,,https://www.quebec.ca/en/premier/premier/contact-the-quebec-premier,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/legault-francois,http://www.assnat.qc.ca/fr/deputes/legault-francois-4131/biographie.html
Ministry,Culture et des Communications,Être le catalyseur d’une culture et d’une jeunesse audacieuses et sources de fierté pour le Québec.,,https://www.quebec.ca/gouvernement/ministeres-organismes/culture-communications,Mathieu Lacombe,,https://www.assnat.qc.ca/fr/deputes/lacombe-mathieu-17927/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/lacombe-mathieu,N/A
Ministry,"Ministère de l’Économie, de l’Innovation et de l’Énergie",N/A,,https://www.quebec.ca/gouvernement/ministeres-organismes/economie,Christine Fréchette,,https://www.assnat.qc.ca/fr/deputes/frechette-christine-19269/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/christine-frechette,N/A
Ministry,"Ministère de l’Économie, de l’Innovation et de l’Énergie",N/A,,https://www.quebec.ca/gouvernement/ministeres-organismes/economie,Christopher Skeete,,http://www.assnat.qc.ca/fr/deputes/skeete-christopher-17873/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/christopher-skeete,N/A
Ministry,Ministère de l'Éducation,"Le ministère de l’Éducation veille à offrir à tous les élèves des services de qualité adaptés à leurs besoins et qui favorisent leur réussite, dans un milieu d'apprentissage sain. En soutenant le réseau scolaire, il permet aux élèves d’acquérir des savoirs et de développer des compétences qui feront d'eux des citoyens engagés et responsables. Le Ministère fait également la promotion auprès de la population d'un mode de vie physiquement actif dans des milieux sécuritaires.",,https://www.quebec.ca/gouvernement/ministeres-organismes/education,Bernard Drainville,,https://www.assnat.qc.ca/fr/deputes/drainville-bernard-209/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/bernard-drainville,N/A
Ministry,Ministère de l'Éducation,"Le ministère de l’Éducation veille à offrir à tous les élèves des services de qualité adaptés à leurs besoins et qui favorisent leur réussite, dans un milieu d'apprentissage sain. En soutenant le réseau scolaire, il permet aux élèves d’acquérir des savoirs et de développer des compétences qui feront d'eux des citoyens engagés et responsables. Le Ministère fait également la promotion auprès de la population d'un mode de vie physiquement actif dans des milieux sécuritaires.",,https://www.quebec.ca/gouvernement/ministeres-organismes/education,Isabelle Charest,,https://www.assnat.qc.ca/fr/deputes/charest-isabelle-17845/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/charest-isabelle,N/A
Ministry,Ministère de l'Emploi et de la Solidarité sociale et Ministère du Travail,The Ministère de l’Emploi et de la Solidarité sociale contributes to the social development and economic prosperity of Québec.,,https://www.quebec.ca/en/government/ministere/emploi-solidarite-sociale,Kateri Champagne Jourdain,,http://www.assnat.qc.ca/fr/deputes/champagne-jourdain-kateri-19303/coordonnees.html,https://www.quebec.ca/gouvernement/gouvernement-ouvert/transparence-performance/agenda-membres-conseil-ministres/kateri-champagne-jourdain,http://www.assnat.qc.ca/fr/deputes/champagne-jourdain-kateri-19303/biographie.html
